category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Electronic/Dance,7IcVPUW4FqVo2lai1TijPC,39,0.902,0.7959999999999999,1,-7.6610000000000005,0.23,0.00303,0.851,0.129,0.34299999999999997,127.007,4
Electronic/Dance,7guGuMsq6S4Y6jxXf7T5nM,0,0.575,0.87,0,-5.189,0.0853,0.0231,0.418,0.141,0.0612,175.024,4
Electronic/Dance,0tzRFiHa3IJLZ2FJO3Peiy,27,0.835,0.473,1,-12.342,0.0593,0.00255,0.7290000000000001,0.0731,0.5529999999999999,123.994,4
Electronic/Dance,5yKAzjFe0QB7Oqp679Ymw7,57,0.6809999999999999,0.917,7,-3.214,0.0324,0.16699999999999998,2.6000000000000002e-05,0.337,0.489,105.0,4
Electronic/Dance,2de4irCScF3ZnTOEVM76wv,26,0.8220000000000001,0.508,11,-8.558,0.0804,0.00016299999999999998,0.853,0.069,0.535,124.995,4
Electronic/Dance,7whXZh9CA7tq9mU82GIq2x,37,0.667,0.564,9,-8.533,0.0507,0.10099999999999999,0.005370000000000001,0.16399999999999998,0.0426,91.084,4
Electronic/Dance,12AGKpRlSf5HglN6YloZag,39,0.43200000000000005,0.968,1,-8.555,0.0729,0.000503,0.884,0.381,0.24,137.974,4
Electronic/Dance,2pr3VfbNuUo01CKZwpHBvy,50,0.503,0.912,5,-4.301,0.0682,0.00908,0.00149,0.156,0.102,127.995,4
Electronic/Dance,7zVtu5K61OivymXHENlZqb,51,0.512,0.892,3,-3.489,0.0324,0.0032600000000000003,0.0,0.195,0.419,149.982,4
Electronic/Dance,77ImGxW2QQVf5MdKRmxplF,36,0.74,0.8809999999999999,2,-5.001,0.0452,0.00265,0.19899999999999998,0.0717,0.485,124.024,4
Electronic/Dance,1QJSX3qst1uFk0cyqUOYhV,53,0.755,0.772,0,-5.297000000000001,0.0597,0.0174,0.127,0.19899999999999998,0.35700000000000004,124.027,4
Electronic/Dance,6KqC7YNOcqYh5J5cNb1gbw,48,0.805,0.7290000000000001,6,-9.361,0.0386,0.508,0.919,0.10300000000000001,0.605,123.00299999999999,4
Electronic/Dance,2pNtIGopqr4wFDhpc9uAMC,48,0.642,0.9420000000000001,10,-5.462999999999999,0.0771,0.00395,0.878,0.314,0.17800000000000002,124.00399999999999,4
Electronic/Dance,3de3pLWU48fpTNlSuM6tyR,64,0.718,0.747,11,-4.9319999999999995,0.0409,0.0464,0.6409999999999999,0.0772,0.32299999999999995,125.98200000000001,4
Electronic/Dance,05Py3s5QEjuLPbXEP8zlF5,29,0.767,0.9940000000000001,7,-7.057,0.055,2.1e-05,0.894,0.166,0.218,126.00200000000001,4
Electronic/Dance,2PYfzuUV1OWMDurwijQHNW,50,0.88,0.797,1,-5.21,0.0786,0.0334,0.0236,0.335,0.7609999999999999,120.991,4
Electronic/Dance,1phmF6Y0ZgV9kt3EaiEy4X,46,0.524,0.9470000000000001,2,-1.845,0.0505,0.00548,0.000556,0.179,0.21899999999999997,150.012,4
Electronic/Dance,0XUpKCZ7XQz7f4vg5TVVAU,36,0.59,0.8109999999999999,7,-10.702,0.0454,0.005520000000000001,0.535,0.619,0.0314,126.016,4
Electronic/Dance,7npuXU3BT0VioJ6DA1sTxZ,33,0.478,0.748,4,-4.5889999999999995,0.226,0.0851,0.0,0.10400000000000001,0.23199999999999998,159.773,4
