songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
47Ylu4dSO0p96h9rpUMJfL,Either Way (feat. Chris Brown),K. Michelle,62,0.839,0.403,1,-7.49,0.178,0.0266,0.0,0.093,0.387,134.133,4,Top Lists
0UQSyryW2vxE88AVFSZs3T,Quicksand,Various Artists,71,0.803,0.69,3,-5.89,0.269,0.0781,0.0,0.117,0.444,103.985,4,Top Lists
397sfkANMRKEuchzPCvlFL,Virile,The Blaze,52,0.679,0.462,3,-10.128,0.0326,0.0442,0.793,0.0846,0.289,120.012,4,Top Lists
6vAPPcbTWRvRiDCW2n3lw5,ILL NANA (feat. Trippie Redd),DRAM,74,0.548,0.749,7,-5.064,0.0572,0.00338,0.0,0.201,0.373,79.955,4,Top Lists
3BG4lJPJhR3I7zZkxGhNRs,Doin’ It,Moneybagg Yo,72,0.811,0.764,0,-4.33,0.124,0.00848,2.9e-05,0.0988,0.711,145.016,4,Top Lists
1w8nksNi74s1PlypOWbJnt,Frustrated,R.LUM.R,17,0.4,0.57,2,-6.184,0.0599,0.325,0.0,0.0822,0.229,122.076,4,Top Lists
2KwojFDebQV4J2b0JMRR5Q,Is That For Me,Alesso,0,0.761,0.785,8,-5.502,0.0505,0.234,0.237,0.0573,0.58,104.992,4,Top Lists
5zwKfokZAwe4kz68lEHtUf,They Dont Know,Jason Aldean,67,0.434,0.921,10,-2.248,0.0688,0.0207,0.00209,0.116,0.426,171.945,4,Top Lists
0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),Macklemore,93,0.731,0.794,0,-5.126,0.0522,0.0323,2.6e-05,0.112,0.356,139.994,4,Top Lists
3BY2mafsbsoKGqS380Xnuz,Te Quiero Pa´Mi,Don Omar,79,0.761,0.82,1,-4.003,0.0623,0.125,2.1e-05,0.183,0.619,88.997,4,Top Lists
1KTLLe980WR4RLKg74Ud6e,The Long Way,Brett Eldredge,62,0.488,0.637,10,-7.63,0.0401,0.265,0.0,0.106,0.21,88.872,4,Top Lists
6J1R5wtPXiHiwiPstOSI56,Que Va,Alex Sensation,83,0.774,0.828,0,-3.412,0.0502,0.134,0.0,0.0601,0.841,90.993,4,Top Lists
2SmgFAhQkQCQPyBiBxR6Te,Criminal,Natti Natasha,89,0.816,0.806,2,-3.023,0.0563,0.0347,9e-05,0.255,0.821,79.987,4,Top Lists
5UMD1Iz7yyVK8Q5FLsVt3q,Walk On Water,Thirty Seconds To Mars,74,0.492,0.761,8,-7.041,0.0363,0.000119,0.0,0.0934,0.395,139.98,4,Top Lists
2Nc8Imt04W3ZmcBF8dPQKc,All On Me,Devin Dawson,77,0.631,0.658,5,-5.313,0.0281,0.144,0.0,0.22,0.692,80.996,4,Top Lists
06ClI3XK2FPR5uP8tPcFS1,Around The World,Kings of Leon,70,0.575,0.854,1,-5.847,0.0362,0.000252,0.676,0.351,0.591,113.075,4,Top Lists
1QsXOnBUiREtGixFfdLTOf,Back To Us,Rascal Flatts,73,0.381,0.682,8,-4.548,0.0312,0.118,0.0,0.175,0.347,188.031,4,Top Lists
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),Young Thug,87,0.842,0.597,2,-6.336,0.0627,0.00252,0.0,0.124,0.286,145.992,4,Top Lists
