Unnamed: 0,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
4731,04UTqRsNm7ozil6lXW05dB,Always There When I Need You,Salt Cathedral,68,0.6940000000000001,0.6890000000000001,4,-5.462999999999999,0.03,0.64,2e-06,0.0776,0.469,95.008,4,Electronic/Dance
4523,135TYaJ0WsivC2Zk7MEX4Y,Project T - Martin Garrix Remix,Dimitri Vegas & Like Mike,52,0.561,0.725,9,-7.2120000000000015,0.042,0.00358,0.857,0.0872,0.117,127.993,4,Electronic/Dance
4302,3L9dCXAytMzOP5Ykfh0Sig,Skylark Interabang?!,Made in Heights,46,0.6459999999999999,0.748,7,-7.907999999999999,0.031,0.198,0.603,0.191,0.471,130.023,4,Electronic/Dance
5039,1IDfDAk0EvYrSZq06SWP5F,G-String,Party Favor,59,0.636,0.975,10,-4.57,0.0599,0.0415,0.258,0.462,0.232,100.001,4,Electronic/Dance
4120,4wfQ0EygzWz2v8kbseZKOZ,Creed,Türküm,53,0.466,0.8640000000000001,10,-5.327000000000001,0.0512,0.000183,0.0,0.0998,0.119,145.116,4,Electronic/Dance
4642,5FTRiGxJwHLdaKW9IYplX2,Time Painter - Vocal Mix,BAGGI,35,0.52,0.898,6,-7.33,0.0404,0.00154,0.308,0.118,0.0707,123.989,4,Electronic/Dance
4895,55roUhK4kRgammEfeHr2Wg,Testament,Jayceeoh,54,0.545,0.955,9,-4.6,0.103,0.00296,0.459,0.15,0.312,75.07,4,Electronic/Dance
4684,1G9I0X1iFjEbQjoftZuL0M,The Edge,Erick Morillo,41,0.6970000000000001,0.863,7,-7.832999999999998,0.0409,0.000293,0.56,0.0744,0.399,125.001,4,Electronic/Dance
4146,0flFIlwJHqYm5199JZZPAU,Diving with Whales,Nora En Pure,35,0.7659999999999999,0.86,0,-5.877999999999999,0.0466,0.18,0.8370000000000001,0.114,0.0876,122.99,4,Electronic/Dance
4422,2OkU57LVQoynnVyLE1LrPN,Renaissance (feat. Clairity),Steve James,7,0.546,0.466,1,-8.337,0.0478,0.523,0.0008230000000000001,0.0685,0.575,119.584,5,Electronic/Dance
4470,5eSoktt08OxesOTqHM8cnm,Out The Speakers (feat. Rich Kidz) - Caked Up Remix,A-Trak,24,0.792,0.992,7,-3.885,0.236,0.0167,0.8959999999999999,0.617,0.239,128.033,4,Electronic/Dance
4320,7jKqdY6qCAvvtBNccMnHmz,Drifting - Original Mix,Lee Foss,1,0.7609999999999999,0.752,0,-6.6610000000000005,0.0647,0.116,0.00346,0.0877,0.234,124.971,4,Electronic/Dance
4166,5SB73InpxuEQ20qEWhOQFV,Chunky,Format:B,62,0.8029999999999999,0.858,10,-4.019,0.0538,0.0111,0.096,0.0766,0.8420000000000001,121.989,4,Electronic/Dance
4094,7rzWvKvzLvVdhBS85ZD361,After All Ft. Jinzo - Tucker Kreway Remix,SLANDER,43,0.58,0.944,3,-1.66,0.0468,0.000343,0.104,0.159,0.321,75.017,4,Electronic/Dance
4717,5F5RLFd53KaFaqFOlhBoZN,Fireball,Gent,5,0.562,0.923,2,-4.427,0.0378,0.00233,0.198,0.171,0.0907,99.989,4,Electronic/Dance
4538,3rIkPAyNXikxH3qsl0QLhi,Let em Know (feat. Armanni Reign),Datsik,40,0.583,0.977,1,-2.778,0.0897,0.00143,0.0124,0.207,0.182,150.007,4,Electronic/Dance
