,artist,category,name,songid
0,"['2BaKphge9AdjZIxQqv7WoQ', '1T81IFRFywCJW0SNWMv3T1', '3ZqvXNT2zEezA2VUT90CYy']",Pop,Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity,6Gds0xbRf66IPJ3Qo0pmPL
1,['3TQ9JTBI2n2hfo7aRONEYV'],Pop,Baby Got Back,28yT0sZlkqStSByo1j58J4
2,"['3ScY9CQxNLQei8Umvpx5g6', '5rkVyNGXEgeUqKkB5ccK83', '1J2VVASYAamtQ3Bt8wGgA6']",Pop,Whats Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r
3,['71Cez1b1NqsxIn5u8XNiQD'],Pop,Medley: Killer Queen / Bohemian Rhapsody / Somebody To Love,191HHrs8Bwa8VZ4IJ2iG67
4,"['64M6ah0SkkRsnPGtGiRAbb', '3b8QkneNDz4JHKKKlLgYZg']",Pop,Meant to Be,7iDa6hUg2VgEL1o1HjmfBn
5,['5CCwRZC6euC8Odo6y9X8jr'],Pop,Shine Ya Light,7AaZ4n1NQEgmV8rqEl12Fh
6,['6LufpoVlIYKQCu9Gjpk8B7'],Pop,"100 Days, 100 Nights",3WimH2U1PohKGB3D4yXq9t
7,['0lzV2CiahHRiGd6qpADtPS'],Pop,Tomorrow,1abEKUjJOpSYhwggMfbIWA
8,['4VsNVAxuPxZrJMWE2Tprtq'],Pop,Sweet Caroline,6RPb92J2rlqC1DK7BWIgpF
9,['7xTcuBOIAAIGDOSvwYFPzk'],Pop,Bad Day,2Pwm2YtneLSWi7vyUpT5fs
10,"['09kCHZp9iFO2FJNb9lR6G5', '55dWGlPHFYuBbQYZQlSaKY']",Pop,Cold Water,4esmMZzUcSw6cgd8WbSOgi
11,"['185m2EJWTIm36MdqguiU8T', '41BbfHfXYcR0gyF6AimtVp']",Pop,All That She Wants,1XQSc4ygi9ywfer8aiCn4I
12,"['6ueGR6SWhUJfvEhqkvMsVs', '7IfculRW2WXyzNQ8djX8WX']",Pop,Q.U.E.E.N. [feat. Erykah Badu],3HW030T8eqPs8wpsgZqCGM
13,"['0cLrgpG3pW4MX4nD8h6qCc', '3MAzDpqE01xyUmzNsc0Ee0', '6vqxTQz5ZOfRSQZWfes7mR']",Pop,Tearz,5mayqRLrBYxucQ5fXgZ2eY
14,['6wlk4iqaEgEvADMVG6QMd8'],Pop,Dont Let Me Get Me,2ZYVlxenokw8vF5Mnf4B7K
15,['3EBRANWwnViQuBrImN61Z1'],Pop,All About Tonight,3OcQ2n0iu7SuyM7SphLKVy
16,['6jJ0s89eD6GaHleKKya26X'],Pop,I Kissed a Girl,005lwxGU1tms6HGELIcUv9
17,['2BaKphge9AdjZIxQqv7WoQ'],Pop,"Kennedy Center Performance - From ""Pitch Perfect 2"" Soundtrack",7Gzo2I7jLQyvhGTZrkFAhM
18,['4s6YWKUwngB7oxE6CPWsW2'],Pop,Most Girls - Acoustic,2gPJ00vC3WKoAja0rNk0F1
19,['5T2ff1LGUqwnUUt1J3Q9vg'],Pop,...Ready For It?,7DVKi33vfwcakr5PHJbaUv
20,['4TAoP0f9OuWZUesao43xUW'],Pop,Leg Over,78hpyJZ2DdOTwv7eivWWO5
21,['6S2OmqARrzebs0tKUEyXyp'],Pop,Tell Me You Love Me,3hYvGiw2Q8QE2YWdIJLBz0
22,['0XUcGC1QHkYmsVInVDjFad'],Pop,More Than You Know,2Ok9PIQhVkKAaPTMbM4EvS
23,"['1TuyImpCiEWqNtP5ZkZQrf', '4B5UqCNyS4qFYw9B78zsZN']",Pop,Wole (Enter),0btP3qCxkLYfNPtYrd8e2r
24,['6eUKZXaKkcviH0Ku9w2n3V'],Pop,Lego House,47ltkdjKBMHelkhJavYLQ4
25,"['1QVWN3ebl1dVgVbMgQPG8K', '47iske9mJ4gsyF5ZWf4Tx5']",Pop,I Got Burned - feat. Tim Rogers,7CMfLvTBxPE38oGk2FRmsu
26,['4CeW2xghttvllIwy4AqNSg'],Pop,Wake Up,4HzxLyKw2BQNTecTuxsPEA
27,['1ZwuShKjJItDJez0aDCsxN'],Pop,Jailbird,5D4ZTN3KIkgjvWGK1RAkI5
28,['4uN3DsfENc7dp0OLO0FEIb'],Pop,Fly,5fuGP7Dze9tkadS9WoPbar
29,['1hNaHKp2Za5YdOAG0WnRbc'],Pop,All Over,23nv9GP4iBcQsCyN1bj2nF
30,['2xkmkfqXFQHMk0zhFXMUq6'],Pop,You Got The Love,6hGysJfPg591z5fqvTYL8O
31,['04gDigrS5kc9YWfZHwBETP'],Pop,Maps,4gbVRS8gloEluzf0GzDOFc
32,['0f3EsoviYnRKTkmayI3cux'],Pop,Down Under,46RVKt5Edm1zl0rXhPJZxz
33,['3pFPBG84k5bQVbL9apf2PD'],Pop,Call on Me,5DQI5X0FIdUqOBgKkxwgGD
34,"['1zCrxZ5qkX55qVhQzX3JUt', '2fGqh34bXu5OTm6XERYufV']",Pop,Underwater,3VYS06NhdCAcbTiNWaNUN2
35,['5tKXB9uuebKE34yowVaU3C'],Pop,Replay,4E5P1XyAFtrjpiIxkydly4
36,['07YZf4WDAMNwqr4jfgOZ8y'],Pop,In My Head,6St9lR6dhV2tpCNVz7qfrS
37,['2jnIB6XdLvnJUeNTy5A0J2'],Pop,M.I.A.,6gttjO6hxvBiPI9YcQtG4g
