category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Electronic/Dance,11hPcEmpwrSfBPTK3BLJfJ,49,0.594,0.79,10,-8.356,0.0348,0.00121,0.889,0.371,0.16399999999999998,125.994,4
Electronic/Dance,0NYmQAHfHlG18sFYRLcQ8b,47,0.478,0.556,4,-11.399000000000001,0.0322,0.94,0.693,0.35,0.0393,135.982,4
Electronic/Dance,7E7oip4ssp3dMHulg1cti2,24,0.57,0.5760000000000001,2,-5.434,0.0481,0.131,5.3e-05,0.263,0.22,139.904,4
Electronic/Dance,3FctcCWYKDtUcMDpu83XlF,49,0.63,0.8809999999999999,1,-2.931,0.0743,0.000938,0.0172,0.47,0.354,75.006,4
Electronic/Dance,4ywzpncx1NBWVt47L4VxLj,0,0.621,0.953,1,-4.309,0.0566,0.0669,0.00105,0.0972,0.0317,128.013,4
Electronic/Dance,6oheWhUHTYSegLGV9x3BMd,60,0.513,0.917,7,-4.048,0.0628,0.00543,0.816,0.0592,0.14800000000000002,128.024,4
Electronic/Dance,3UojgHwGrsFdgEkxMRWhbU,29,0.677,0.953,2,-3.964,0.0554,0.0213,0.853,0.162,0.053,127.98,4
Electronic/Dance,0LfaQ5IhvImhyaTSE7uSOr,39,0.491,0.885,11,-4.058,0.0663,0.0113,0.0,0.324,0.298,130.061,4
Electronic/Dance,7ofzP8vKKnTeDheydOYquv,50,0.74,0.883,8,-4.301,0.325,0.0055,0.000523,0.0585,0.852,150.002,4
Electronic/Dance,2HBanw3xVQSWrdOtPfjsnK,56,0.6759999999999999,0.488,7,-7.455,0.0531,0.121,0.0,0.111,0.168,115.01899999999999,4
Electronic/Dance,7paxGKlpBxCtjqt3OXEvtg,43,0.679,0.929,1,-3.984,0.0589,0.00335,0.00074,0.574,0.528,125.02600000000001,4
Electronic/Dance,3H7IStlTARAOMsZQQUC7Tb,48,0.787,0.8690000000000001,5,-7.42,0.0575,5e-06,0.917,0.239,0.462,124.986,4
Electronic/Dance,1RDEORIdkRxuMb4MedxAQy,4,0.483,0.644,8,-6.024,0.0825,0.129,1.1e-05,0.0967,0.299,127.68,4
Electronic/Dance,1v4LxhKYxtNoVkkuZntrK1,46,0.466,0.737,7,-9.98,0.0396,6.3e-05,0.0113,0.145,0.19699999999999998,124.031,4
Electronic/Dance,48WDvCySijeqoafV98gLxV,49,0.657,0.9470000000000001,7,-0.575,0.139,0.0019199999999999998,0.496,0.36200000000000004,0.213,130.009,4
Electronic/Dance,3duB1izeYukwncJ6Zcz3vd,1,0.8140000000000001,0.961,7,-7.801,0.0577,0.0464,0.713,0.46399999999999997,0.8240000000000001,123.005,4
Electronic/Dance,6ShWdjTb3AU5vaxoIB1MzC,44,0.807,0.835,0,-6.276,0.0687,0.000162,0.898,0.0399,0.504,124.007,4
Electronic/Dance,2e1Ltk9jSmOifJM7izTHsW,49,0.40700000000000003,0.828,2,-4.113,0.0365,0.0405,0.10099999999999999,0.462,0.138,149.89,4
Electronic/Dance,0xirs4hvpPBhmuqc4eGQHM,47,0.507,0.932,6,-5.005,0.113,0.0167,0.00122,0.336,0.479,153.889,4
Electronic/Dance,2eoSKnksJbvhi3ZZgoWEHZ,32,0.747,0.965,7,-5.26,0.431,0.00197,0.733,0.21100000000000002,0.185,130.02200000000002,4
